timestamp,model_version,model_type,input_summary,prediction,latency_ms,feedback_score,feedback_text
2026-01-04T13:47:23.466294,v1_old,baseline,"area=800, bedrooms=2, bathrooms=1, stories=1, mainroad=no, guestroom=no, basement=no, hotwaterheating=no, airconditioning=no, airconditioning, parking=1, prearea=no, furnishingstatus=unfurnished",2756888.398,4.293680191,3,Small Basic House - Prediction seems reasonable for a small basic house.
2026-01-04T13:47:23.469679,v2_new,improved,"area=800, bedrooms=2, bathrooms=1, stories=1, mainroad=no, guestroom=no, basement=no, hotwaterheating=no, airconditioning=no, airconditioning, parking=1, prearea=no, furnishingstatus=unfurnished",1772047.149,4.293680191,3,Small Basic House - Prediction seems reasonable for a small basic house.
2026-01-04T13:48:30.281581,v1_old,baseline,"area=1800, bedrooms=3, bathrooms=2, stories=2, mainroad=yes, guestroom=no, basement=yes, hotwaterheating=no, airconditioning=yes, airconditioning, parking=2, prearea=yes, furnishingstatus=semi-furnished",3218863.292,4.420280457,4,Medium Family House - Model v2 gives a more realistic price than v1.
2026-01-04T13:48:30.290034,v2_new,improved,"area=1800, bedrooms=3, bathrooms=2, stories=2, mainroad=yes, guestroom=no, basement=yes, hotwaterheating=no, airconditioning=yes, airconditioning, parking=2, prearea=yes, furnishingstatus=semi-furnished",6499368.677,4.420280457,4,Medium Family House - Model v2 gives a more realistic price than v1.
2026-01-04T13:49:42.932078,v1_old,baseline,"area=3500, bedrooms=4, bathrooms=3, stories=2, mainroad=yes, guestroom=yes, basement=yes, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=3, prearea=yes, furnishingstatus=furnished",4004220.612,3.49187851,5,Large Premium House - Improved model captures premium features very well.
2026-01-04T13:49:42.933367,v2_new,improved,"area=3500, bedrooms=4, bathrooms=3, stories=2, mainroad=yes, guestroom=yes, basement=yes, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=3, prearea=yes, furnishingstatus=furnished",9496286.027,3.49187851,5,Large Premium House - Improved model captures premium features very well.
2026-01-04T13:51:21.535471,v1_old,baseline,"area=1200, bedrooms=3, bathrooms=2, stories=3, mainroad=yes, guestroom=no, basement=no, hotwaterheating=no, airconditioning=yes, airconditioning, parking=1, prearea=no, furnishingstatus=furnished",2941678.356,3.472328186,4,"Narrow Lot, Tall House - v2 handles layout better than the baseline model."
2026-01-04T13:51:21.537144,v2_new,improved,"area=1200, bedrooms=3, bathrooms=2, stories=3, mainroad=yes, guestroom=no, basement=no, hotwaterheating=no, airconditioning=yes, airconditioning, parking=1, prearea=no, furnishingstatus=furnished",5571319.863,3.472328186,4,"Narrow Lot, Tall House - v2 handles layout better than the baseline model."
2026-01-04T13:53:04.097732,v1_old,baseline,"area=1500, bedrooms=3, bathrooms=1, stories=1, mainroad=no, guestroom=no, basement=no, hotwaterheating=no, airconditioning=no, airconditioning, parking=1, prearea=no, furnishingstatus=unfurnished",3080270.824,3.086805344,4,"Older House, Minimal Amenities - Prediction slightly high but acceptable."
2026-01-04T13:53:04.099380,v2_new,improved,"area=1500, bedrooms=3, bathrooms=1, stories=1, mainroad=no, guestroom=no, basement=no, hotwaterheating=no, airconditioning=no, airconditioning, parking=1, prearea=no, furnishingstatus=unfurnished",2057732.279,3.086805344,4,"Older House, Minimal Amenities - Prediction slightly high but acceptable."
